170,15,22,red
114,0,0,red
194,13,17,red
146,9,13,red
167,7,4,red
210,24,35,red
197,16,42,red
195,0,26,red
155,0,22,red
254,0,0,red
205,239,239,red
245,13,2,red
252,197,38,yellow
242,220,0,yellow
254,181,0,yellow
254,200,21,yellow
254,244,66,yellow
254,203,89,yellow
254,215,42,yellow
254,215,0,yellow
254,181,0,yellow
233,155,20,yellow
185,2,254,Violet
185,54,141,Violet
161,0,0,Violet
61,0,103,Violet
200,145,221,Violet
213,1,245,Violet
30,5,21,Violet
219,43,18,Violet
106,58,151,Violet
86,52,145,Violet
0,0,0,Black
1,1,3,Black
16,16,18,Black
13,14,14,Black
23,23,23,Black
38,38,40,Black
18,19,21,Black
1,0,0,Black
23,23,23,Black
29,29,29,Black
30,30,32,Black
237,237,237,Green
85,121,65,Green
19,109,57,Green
0,175,100,Green
254,240,233,Green
245,244,227,Green
25,156,100,Green
229,231,229,White
229,229,226,White
254,254,254,White
234,234,234,White
254,254,254,White
246,246,246,White
233,236,235,White
254,254,254,White
189,181,174,White
254,254,254,White
254,254,254,White
238,238,238,White
254,254,254,White
254,254,254,White
245,245,245,White
252,252,252,White
254,254,254,White
254,130,18,orange
24,94,32,orange
238,227,227,orange
253,99,31,orange
254,166,4,orange
241,78,26,orange
243,154,48,orange
252,78,12,orange
254,140,56,orange
41,41,41,orange
0,125,192,Blue
25,25,254,Blue
44,55,117,Blue
0,65,172,Blue
36,168,224,Blue
169,202,227,Blue
0,0,153,Blue
2,21,70,Blue
34,153,211,Blue
0,35,169,Blue
